,Year,Neighborhoods,Cluster,Median_Price
188,2007,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,999950
189,2008,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1391251
190,2009,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,955000
191,2010,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1170000
192,2011,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1455000
193,2012,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1060000
194,2013,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1800000
195,2014,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1202500
196,2015,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1200000
197,2016,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1930000
210,2007,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,496009
211,2008,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,530000
212,2009,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,430000
213,2010,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,480000
214,2011,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,490000
215,2012,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,535000
216,2013,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,605000
217,2014,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,650000
218,2015,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,700000
219,2016,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,760000
232,2007,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,577000
233,2008,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,637800
234,2009,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,605500
235,2010,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,629000
236,2011,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,615000
237,2012,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,658500
238,2013,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,708250
239,2014,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,825000
240,2015,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,777778
241,2016,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,860000
254,2007,"Georgetown, Burleith/Hillandale",Cluster 4,1165000
255,2008,"Georgetown, Burleith/Hillandale",Cluster 4,1237500
256,2009,"Georgetown, Burleith/Hillandale",Cluster 4,1140500
257,2010,"Georgetown, Burleith/Hillandale",Cluster 4,1165000
258,2011,"Georgetown, Burleith/Hillandale",Cluster 4,1100000
259,2012,"Georgetown, Burleith/Hillandale",Cluster 4,1230000
260,2013,"Georgetown, Burleith/Hillandale",Cluster 4,1275000
261,2014,"Georgetown, Burleith/Hillandale",Cluster 4,1250000
262,2015,"Georgetown, Burleith/Hillandale",Cluster 4,1467500
263,2016,"Georgetown, Burleith/Hillandale",Cluster 4,1295000
276,2007,"West End, Foggy Bottom, GWU",Cluster 5,1037000
277,2008,"West End, Foggy Bottom, GWU",Cluster 5,932000
278,2009,"West End, Foggy Bottom, GWU",Cluster 5,672000
279,2010,"West End, Foggy Bottom, GWU",Cluster 5,810000
280,2011,"West End, Foggy Bottom, GWU",Cluster 5,702500
281,2012,"West End, Foggy Bottom, GWU",Cluster 5,820000
282,2013,"West End, Foggy Bottom, GWU",Cluster 5,800000
283,2014,"West End, Foggy Bottom, GWU",Cluster 5,1060000
284,2015,"West End, Foggy Bottom, GWU",Cluster 5,747500
285,2016,"West End, Foggy Bottom, GWU",Cluster 5,797500
298,2007,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,847500
299,2008,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,890000
300,2009,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,862500
301,2010,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,953250
302,2011,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,950000
303,2012,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,990000
304,2013,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,1012500
305,2014,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,1050000
306,2015,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,1395000
307,2016,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,1210000
320,2007,"Shaw, Logan Circle",Cluster 7,618000
321,2008,"Shaw, Logan Circle",Cluster 7,515000
322,2009,"Shaw, Logan Circle",Cluster 7,510000
323,2010,"Shaw, Logan Circle",Cluster 7,591000
324,2011,"Shaw, Logan Circle",Cluster 7,570000
325,2012,"Shaw, Logan Circle",Cluster 7,680000
326,2013,"Shaw, Logan Circle",Cluster 7,810000
327,2014,"Shaw, Logan Circle",Cluster 7,775000
328,2015,"Shaw, Logan Circle",Cluster 7,853500
329,2016,"Shaw, Logan Circle",Cluster 7,890001
342,2007,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,795000
343,2008,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,373950
345,2010,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,502000
346,2011,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,620000
347,2012,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,634750
348,2013,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,1015938
349,2014,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,537500
350,2015,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,786250
351,2016,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,785000
364,2007,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,645000
365,2008,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,650000
366,2009,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,640000
367,2010,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,628750
368,2011,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,302500
369,2012,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,692250
370,2013,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,675000
371,2014,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,720000
372,2015,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,800000
373,2016,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,880500
386,2007,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,852164
387,2008,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,862000
388,2009,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,802500
389,2010,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,831000
390,2011,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,820000
391,2012,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,853500
392,2013,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,885000
393,2014,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,947500
394,2015,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,950889
395,2016,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,975000
408,2007,"Friendship Heights, American University Park, Tenleytown",Cluster 11,837500
409,2008,"Friendship Heights, American University Park, Tenleytown",Cluster 11,825000
410,2009,"Friendship Heights, American University Park, Tenleytown",Cluster 11,786000
411,2010,"Friendship Heights, American University Park, Tenleytown",Cluster 11,798000
412,2011,"Friendship Heights, American University Park, Tenleytown",Cluster 11,830000
413,2012,"Friendship Heights, American University Park, Tenleytown",Cluster 11,855000
414,2013,"Friendship Heights, American University Park, Tenleytown",Cluster 11,890000
415,2014,"Friendship Heights, American University Park, Tenleytown",Cluster 11,937500
416,2015,"Friendship Heights, American University Park, Tenleytown",Cluster 11,1002000
417,2016,"Friendship Heights, American University Park, Tenleytown",Cluster 11,1050000
430,2007,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,918000
431,2008,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,1255000
432,2009,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,956000
433,2010,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,1015000
434,2011,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,980000
435,2012,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,930000
436,2013,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,1169500
437,2014,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,1107500
438,2015,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,1312500
439,2016,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,1397500
452,2007,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1115500
453,2008,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1160000
454,2009,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1050000
455,2010,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1165000
456,2011,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1095000
457,2012,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1146500
458,2013,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1197500
459,2014,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1239400
460,2015,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1300000
461,2016,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1262500
474,2007,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,780500
475,2008,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,793750
476,2009,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,797500
477,2010,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,780000
478,2011,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,815000
479,2012,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,852250
480,2013,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,901063
481,2014,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,927000
482,2015,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,895000
483,2016,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,995000
496,2007,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1082000
497,2008,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,940000
498,2009,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1100000
499,2010,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1155500
500,2011,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1102500
501,2012,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1181750
502,2013,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1352500
503,2014,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1360000
504,2015,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1400000
505,2016,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1462500
518,2007,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,644850
519,2008,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,682500
520,2009,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,650000
521,2010,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,622500
522,2011,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,605000
523,2012,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,710000
524,2013,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,738250
525,2014,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,720000
526,2015,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,810000
527,2016,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,815750
540,2007,"Takoma, Brightwood, Manor Park",Cluster 17,430000
541,2008,"Takoma, Brightwood, Manor Park",Cluster 17,387500
542,2009,"Takoma, Brightwood, Manor Park",Cluster 17,410000
543,2010,"Takoma, Brightwood, Manor Park",Cluster 17,340000
544,2011,"Takoma, Brightwood, Manor Park",Cluster 17,378500
545,2012,"Takoma, Brightwood, Manor Park",Cluster 17,395000
546,2013,"Takoma, Brightwood, Manor Park",Cluster 17,428750
547,2014,"Takoma, Brightwood, Manor Park",Cluster 17,509000
548,2015,"Takoma, Brightwood, Manor Park",Cluster 17,522500
549,2016,"Takoma, Brightwood, Manor Park",Cluster 17,557500
562,2007,"Brightwood Park, Crestwood, Petworth",Cluster 18,450000
563,2008,"Brightwood Park, Crestwood, Petworth",Cluster 18,415000
564,2009,"Brightwood Park, Crestwood, Petworth",Cluster 18,409000
565,2010,"Brightwood Park, Crestwood, Petworth",Cluster 18,422500
566,2011,"Brightwood Park, Crestwood, Petworth",Cluster 18,420000
567,2012,"Brightwood Park, Crestwood, Petworth",Cluster 18,468000
568,2013,"Brightwood Park, Crestwood, Petworth",Cluster 18,545000
569,2014,"Brightwood Park, Crestwood, Petworth",Cluster 18,625000
570,2015,"Brightwood Park, Crestwood, Petworth",Cluster 18,650000
571,2016,"Brightwood Park, Crestwood, Petworth",Cluster 18,650000
584,2007,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,335000
585,2008,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,300000
586,2009,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,290000
587,2010,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,274900
588,2011,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,270275
589,2012,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,267500
590,2013,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,365000
591,2014,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,419900
592,2015,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,434750
593,2016,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,445000
606,2007,"North Michigan Park, Michigan Park, University Heights",Cluster 20,384000
